apples	oranges
1607	4728
966	    7729
55435	153773
2139	10527
245109	576328
16596	79098
10586	27416
114270	1110428
5007	51769
28720	28691
4804	14022
3182	39115
24738	43546
3303	30911
22510	77832
163688	540376
26322	177612
2998	6705
15809	63679
4490	8340
111     400
11858	16042
7251	19153
1309	6895
23727	93883
16793	94893
183434	896665
7051	22072
